State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min Price,Max Price,Modal Price,Commodity_Code,Date,Arrival Quantity
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,03/01/2016,4500,4600,4575,15,2016-01-03,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,04/01/2016,4300,4450,4350,15,2016-01-04,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,04/01/2016,4500,4600,4575,15,2016-01-04,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,04/01/2016,4250,4700,4650,15,2016-01-04,100
Maharashtra,Jalana,Jalana,Cotton,Other,FAQ,04/01/2016,4350,4600,4600,15,2016-01-04,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,05/01/2016,4500,4600,4575,15,2016-01-05,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,05/01/2016,4200,4650,4600,15,2016-01-05,100
Maharashtra,Jalana,Jalana,Cotton,Other,FAQ,05/01/2016,4265,4580,4265,15,2016-01-05,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,05/01/2016,4200,4450,4300,15,2016-01-05,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,06/01/2016,4300,4650,4620,15,2016-01-06,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,06/01/2016,4250,4425,4325,15,2016-01-06,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,06/01/2016,4200,4400,4350,15,2016-01-06,100
Maharashtra,Jalana,Ghansawangi,Cotton,Other,FAQ,06/01/2016,4500,4700,4600,15,2016-01-06,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,06/01/2016,4500,4600,4575,15,2016-01-06,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,07/01/2016,4200,4450,4250,15,2016-01-07,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,07/01/2016,4221,4400,4300,15,2016-01-07,100
Maharashtra,Jalana,Jalana,Cotton,Other,FAQ,07/01/2016,4250,4550,4300,15,2016-01-07,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,07/01/2016,4450,4575,4550,15,2016-01-07,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,08/01/2016,4450,4575,4525,15,2016-01-08,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,08/01/2016,4200,4400,4300,15,2016-01-08,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,08/01/2016,4200,4400,4300,15,2016-01-08,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,08/01/2016,4180,4600,4550,15,2016-01-08,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,09/01/2016,4400,4550,4500,15,2016-01-09,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,09/01/2016,4180,4600,4550,15,2016-01-09,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,10/01/2016,4400,4550,4500,15,2016-01-10,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,11/01/2016,4300,4325,4300,15,2016-01-11,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,11/01/2016,4150,4350,4200,15,2016-01-11,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,11/01/2016,4300,4600,4501,15,2016-01-11,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,11/01/2016,4475,4550,4500,15,2016-01-11,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,12/01/2016,4500,4550,4500,15,2016-01-12,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,12/01/2016,4275,4300,4300,15,2016-01-12,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,12/01/2016,4200,4350,4250,15,2016-01-12,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,13/01/2016,4200,4400,4300,15,2016-01-13,100
Maharashtra,Jalana,Ghansawangi,Cotton,Other,FAQ,13/01/2016,4200,4500,4400,15,2016-01-13,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,13/01/2016,4350,4550,4500,15,2016-01-13,100
Maharashtra,Jalana,Jalana,Cotton,Other,FAQ,13/01/2016,4100,4100,4100,15,2016-01-13,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,14/01/2016,4350,4500,4500,15,2016-01-14,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,14/01/2016,4250,4450,4350,15,2016-01-14,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,15/01/2016,4150,4300,4200,15,2016-01-15,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,15/01/2016,4350,4525,4500,15,2016-01-15,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,15/01/2016,4250,4501,4500,15,2016-01-15,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,16/01/2016,4250,4500,4500,15,2016-01-16,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,16/01/2016,4350,4450,4400,15,2016-01-16,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,17/01/2016,4350,4500,4400,15,2016-01-17,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,18/01/2016,4350,4450,4400,15,2016-01-18,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,18/01/2016,4200,4350,4300,15,2016-01-18,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,18/01/2016,4300,4500,4500,15,2016-01-18,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,18/01/2016,4200,4351,4311,15,2016-01-18,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,19/01/2016,4200,4400,4300,15,2016-01-19,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,19/01/2016,4350,4450,4400,15,2016-01-19,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,19/01/2016,4200,4351,4311,15,2016-01-19,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,20/01/2016,4200,4350,4300,15,2016-01-20,100
Maharashtra,Jalana,Ghansawangi,Cotton,Other,FAQ,20/01/2016,4300,4600,4500,15,2016-01-20,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,20/01/2016,4300,4600,4550,15,2016-01-20,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,20/01/2016,4200,4300,4250,15,2016-01-20,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,20/01/2016,4400,4500,4450,15,2016-01-20,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,21/01/2016,4200,4350,4300,15,2016-01-21,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,21/01/2016,4450,4600,4550,15,2016-01-21,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,21/01/2016,4400,4600,4500,15,2016-01-21,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,21/01/2016,4200,4200,4200,15,2016-01-21,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,22/01/2016,4200,4300,4250,15,2016-01-22,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,22/01/2016,4300,4600,4521,15,2016-01-22,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,22/01/2016,4500,4600,4500,15,2016-01-22,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,22/01/2016,4200,4325,4275,15,2016-01-22,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,23/01/2016,4450,4600,4500,15,2016-01-23,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,23/01/2016,4200,4351,4311,15,2016-01-23,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,23/01/2016,4150,4300,4200,15,2016-01-23,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,24/01/2016,4500,4600,4500,15,2016-01-24,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,25/01/2016,4300,4621,4500,15,2016-01-25,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,25/01/2016,4500,4600,4550,15,2016-01-25,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,25/01/2016,4200,4350,4275,15,2016-01-25,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,26/01/2016,4200,4350,4275,15,2016-01-26,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,26/01/2016,4450,4600,4550,15,2016-01-26,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,27/01/2016,4200,4400,4300,15,2016-01-27,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,27/01/2016,4450,4600,4500,15,2016-01-27,100
Maharashtra,Jalana,Ghansawangi,Cotton,Other,FAQ,27/01/2016,4300,4500,4400,15,2016-01-27,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,27/01/2016,4200,4325,4275,15,2016-01-27,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,28/01/2016,4150,4300,4200,15,2016-01-28,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,28/01/2016,4400,4600,4500,15,2016-01-28,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,29/01/2016,4300,4325,4300,15,2016-01-29,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,29/01/2016,4200,4580,4511,15,2016-01-29,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,29/01/2016,4170,4350,4300,15,2016-01-29,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,30/01/2016,4211,4311,4275,15,2016-01-30,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,30/01/2016,4300,4500,4450,15,2016-01-30,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,31/01/2016,4250,4400,4350,15,2016-01-31,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,01/02/2016,4211,4325,4300,15,2016-02-01,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,01/02/2016,4200,4500,4500,15,2016-02-01,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,01/02/2016,4300,4400,4350,15,2016-02-01,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,01/02/2016,4200,4400,4300,15,2016-02-01,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,02/02/2016,4300,4400,4350,15,2016-02-02,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,02/02/2016,4200,4500,4500,15,2016-02-02,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,02/02/2016,4200,4350,4300,15,2016-02-02,100
Maharashtra,Jalana,Ghansawangi,Cotton,Other,FAQ,03/02/2016,4200,4500,4300,15,2016-02-03,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,03/02/2016,4300,4400,4350,15,2016-02-03,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,03/02/2016,4200,4500,4490,15,2016-02-03,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,03/02/2016,4200,4400,4300,15,2016-02-03,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,04/02/2016,4300,4400,4350,15,2016-02-04,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,04/02/2016,4170,4380,4300,15,2016-02-04,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,04/02/2016,4200,4500,4500,15,2016-02-04,100
